City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Kaffrine,SN,14.1059,-15.5508,80.56,25,0,14.5,clear sky
177,Nicoya,CR,10.1483,-85.452,87.8,55,20,9.22,few clouds
178,Quesnel,CA,52.9999,-122.5029,46.4,61,75,5.75,broken clouds
179,Faanui,PF,-16.4833,-151.75,83.7,74,99,22.24,overcast clouds
180,Georgetown,MY,5.4112,100.3354,78.8,100,20,5.75,mist
181,Sambava,MG,-14.2667,50.1667,75.49,92,46,3.89,scattered clouds
182,Ribeira Grande,PT,38.5167,-28.7,57.02,62,21,3.65,few clouds
183,Norman Wells,CA,65.282,-126.8329,10.4,56,75,11.5,broken clouds
184,East London,ZA,-33.0153,27.9116,68.27,86,100,10.92,light rain
185,Mul,IN,20.0667,79.6667,78.64,31,1,3.8,clear sky
186,Inongo,CD,-1.95,18.2667,71.31,95,100,3.58,moderate rain
187,Alawalpur,IN,31.4328,75.6508,58.57,65,1,6.82,clear sky
188,Shakhtinsk,KZ,49.71,72.5872,19.4,86,0,6.71,clear sky
189,Souillac,MU,-20.5167,57.5167,75.2,94,20,5.75,few clouds
190,Zeya,RU,53.75,127.2667,25.9,89,100,1.07,overcast clouds
191,Ust-Nera,RU,64.5667,143.2,-4.85,89,98,4.21,overcast clouds
192,Tilichiki,RU,60.4667,166.1,14.14,85,100,10.58,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,27.18,61,74,14.14,broken clouds
194,Puerto Escondido,MX,15.85,-97.0667,84.2,74,1,9.22,clear sky
195,Rosarito,MX,32.3333,-117.0333,62.6,63,75,9.22,broken clouds
196,Zhangjiakou,CN,40.81,114.8794,47.26,32,2,1.63,clear sky
197,Kruisfontein,ZA,-34.0033,24.7314,69.01,82,100,4.0,overcast clouds
198,Polyarnyy,RU,69.1989,33.4478,37.4,60,0,11.18,clear sky
199,Karasburg,NA,-28.0167,18.75,68.83,47,20,8.01,few clouds
200,Tarko-Sale,RU,64.9225,77.785,-1.37,100,51,7.99,broken clouds
201,Hobyo,SO,5.3505,48.5268,77.43,64,3,11.7,clear sky
202,Khash,IR,28.2211,61.2158,58.8,35,52,2.55,broken clouds
203,Isangel,VU,-19.55,169.2667,84.2,61,75,5.75,broken clouds
204,Asyut,EG,27.181,31.1837,69.8,40,0,12.66,clear sky
205,Dauphin,CA,51.1494,-100.0502,28.4,50,1,10.36,clear sky
206,Maningrida,AU,-12.0667,134.2667,84.67,74,100,1.16,overcast clouds
207,Cururupu,BR,-1.8283,-44.8683,74.41,95,97,3.18,light rain
208,Dikson,RU,73.5069,80.5464,-7.31,100,88,3.91,overcast clouds
209,Pacific Grove,US,36.6177,-121.9166,64.4,39,1,9.22,clear sky
210,Pisco,PE,-13.7,-76.2167,71.6,73,20,21.85,few clouds
211,Kismayo,SO,-0.3582,42.5454,79.41,81,68,10.74,broken clouds
212,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,20,5.75,few clouds
213,Victoria,HK,22.2855,114.1577,70.0,78,3,3.0,clear sky
214,Adre,TD,13.4667,22.2,81.07,16,8,17.6,clear sky
215,Durham,US,36.0335,-78.8664,66.2,72,90,5.75,overcast clouds
216,Paamiut,GL,61.994,-49.6678,12.96,85,100,8.79,light snow
217,Janoshaza,HU,47.1194,17.165,41.0,80,0,3.02,clear sky
218,Mildura,AU,-34.2,142.15,64.99,59,48,11.5,scattered clouds
219,Coquimbo,CL,-29.9533,-71.3436,62.6,77,20,9.22,few clouds
220,Mahebourg,MU,-20.4081,57.7,75.2,94,20,5.75,few clouds
221,Saint George,US,37.1041,-113.5841,63.0,16,1,10.36,clear sky
222,Matadi,CD,-5.8167,13.45,74.93,96,100,2.01,light rain
223,Newport,GB,51.5877,-2.9984,44.01,89,93,7.96,overcast clouds
224,Inuvik,CA,68.3499,-133.7218,15.8,53,100,3.44,overcast clouds
225,Yerbogachen,RU,61.2767,108.0108,5.56,98,100,4.07,overcast clouds
226,Srem,PL,52.0887,17.0151,39.0,93,75,3.44,mist
227,Nome,US,64.5011,-165.4064,25.0,74,75,11.5,broken clouds
228,Basco,PH,20.4487,121.9702,75.24,84,53,23.67,broken clouds
229,Porbandar,IN,21.6422,69.6093,76.86,55,0,9.08,clear sky
230,Raudeberg,NO,61.9875,5.1352,42.01,79,94,21.7,overcast clouds
231,Ures,MX,29.4333,-110.4,66.99,44,82,3.0,broken clouds
232,Edd,ER,13.9297,41.6925,85.53,21,0,16.04,clear sky
233,Vestmannaeyjar,IS,63.4427,-20.2734,35.71,53,100,2.55,overcast clouds
234,Talnakh,RU,69.4865,88.3972,15.33,94,100,10.31,light snow
235,Tagusao,PH,9.1924,117.8141,81.84,74,100,3.85,overcast clouds
236,Rio Grande,BR,-32.035,-52.0986,71.01,84,74,1.99,broken clouds
237,Leshukonskoye,RU,64.8989,45.7622,34.48,96,100,12.19,overcast clouds
238,Redlands,US,34.0556,-117.1825,73.4,12,1,14.97,clear sky
239,Cairns,AU,-16.9167,145.7667,86.0,78,86,6.91,overcast clouds
240,Rio Gallegos,AR,-51.6226,-69.2181,50.0,50,0,25.32,clear sky
