City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Chake Chake,TZ,78.55,scattered clouds,-5.2459,39.7666,Hotel Archipelago
466,Samarai,PG,84.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
469,Antalaha,MG,75.49,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
474,Aguadilla,PR,75.0,scattered clouds,18.4275,-67.1541,WSSM Surf House
475,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
476,Kota Bahru,MY,77.0,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
481,Kulhudhuffushi,MV,82.58,overcast clouds,6.6221,73.07,Haajy Guest House 1
482,Buchanan,LR,77.11,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
484,Touros,BR,80.6,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
485,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
486,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
494,Gatton,AU,78.8,clear sky,-27.55,152.2833,Room Motels Gatton
501,Contai,IN,77.14,clear sky,21.7786,87.7536,PATHFINDER
507,Kampong Chhnang,KH,80.15,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
510,Bac Lieu,VN,81.18,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
511,Bengkulu,ID,76.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
516,Tamiahua,MX,76.57,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
517,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
518,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
524,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
525,Garissa,KE,79.65,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
526,Namatanai,PG,84.04,light rain,-3.6667,152.4333,Namatanai Hotel
527,Pocone,BR,80.02,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
529,Ternate,ID,79.16,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
539,Road Town,VG,78.8,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
544,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
545,Pemba,MZ,78.8,light rain,-12.974,40.5178,Guesthouse Samotina
548,Sungairaya,ID,76.5,overcast clouds,0.7,108.9,Mess P.Milu
550,Paredon,MX,82.04,clear sky,16.0333,-93.8667,Hotel Principal Paredon
554,Balabac,PH,82.31,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
555,Samut Sakhon,TH,86.0,overcast clouds,13.5833,100.3,Taweesuk Residence
559,Atar,MR,80.6,few clouds,20.5169,-13.0499,Oumou Elghoura
561,Manggar,ID,78.67,overcast clouds,-2.8833,108.2667,Guest Hotel
567,The Valley,AI,78.01,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
568,Dourbali,TD,82.62,scattered clouds,11.8091,15.8632,
571,Ugoofaaru,MV,82.62,broken clouds,5.6667,73.0,Ungoofaaru Inn
573,Varkkallai,IN,84.2,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
575,Banjarmasin,ID,78.8,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
586,Kununurra,AU,82.4,overcast clouds,-15.7667,128.7333,Hotel Kununurra
591,El Alto,PE,77.0,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
592,Port Macquarie,AU,80.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
595,Bhatkal,IN,78.82,overcast clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
596,Casino,AU,78.01,clear sky,-28.8667,153.05,Squatters Homestead Motel
597,San Policarpo,PH,80.33,overcast clouds,12.1791,125.5072,JM Lodge
604,Cap Malheureux,MU,77.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
607,Mogadishu,SO,77.81,clear sky,2.0371,45.3438,Olympic Hotel
620,Axim,GH,79.81,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
621,Aden,YE,78.51,clear sky,12.7794,45.0367,Sama Emirate Hotel
624,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
627,Sayhat,SA,77.0,clear sky,26.4852,50.0405,Sofi Hotel
628,Quesada,CR,77.0,broken clouds,10.3238,-84.4271,Legacy Boutique Hotel
632,Pangai,TO,75.2,light rain,-19.8,-174.35,Ha'apai Beach Resort
636,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
637,Danane,CI,75.24,overcast clouds,7.2596,-8.155,Lmd
638,Sulangan,PH,81.36,overcast clouds,11.1373,123.7228,Maia's Beach Resort
639,Katobu,ID,80.83,scattered clouds,-4.9408,122.5276,La Ode Husein
642,Birnin Kebbi,NG,83.68,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
647,Ulladulla,AU,75.2,light rain,-35.35,150.4667,Sandpiper Motel
649,Ilhabela,BR,77.88,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
650,Nhulunbuy,AU,84.2,few clouds,-12.2333,136.7667,East Arnhem Real Estate
