City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Port Hedland,AU,2021-03-15 03:04:16,-20.3167,118.5667,87.8,45,62,21.85
188,La Ligua,CL,2021-03-15 03:04:17,-32.4524,-71.2311,54.39,94,2,0.76
189,Srednekolymsk,RU,2021-03-15 03:04:18,67.45,153.6833,-5.49,90,19,8.12
190,Mayor Pablo Lagerenza,PY,2021-03-15 03:04:18,-19.9309,-60.7718,72.59,92,100,2.82
191,Manoel Urbano,BR,2021-03-15 03:04:19,-8.8389,-69.2597,73.18,98,100,1.97
192,Severo-Kurilsk,RU,2021-03-15 03:04:20,50.6789,156.125,36.19,85,10,4.52
193,General Pico,AR,2021-03-15 03:04:21,-35.6566,-63.7568,68.85,61,0,9.95
194,Surgut,RU,2021-03-15 03:01:06,61.25,73.4167,17.6,73,0,8.95
195,Carnarvon,AU,2021-03-15 03:04:22,-24.8667,113.6333,87.8,62,0,10.36
196,Mikhaylovka,RU,2021-03-15 03:04:23,50.06,43.2379,26.01,86,88,8.01
197,Roma,US,2021-03-15 02:59:25,43.2128,-75.4557,23.0,50,20,11.5
198,Bud,US,2021-03-15 03:04:24,39.447,-86.1758,48.0,44,100,15.61
199,Torres,BR,2021-03-15 03:04:25,-29.3353,-49.7269,72.48,89,18,3.58
200,Tuatapere,NZ,2021-03-15 03:04:26,-46.1333,167.6833,59.0,80,92,15.01
201,Chino,US,2021-03-15 03:04:26,34.0122,-117.6889,55.4,76,90,11.5
202,Slawno,PL,2021-03-15 02:59:44,54.3628,16.6789,37.96,91,99,12.59
203,Dosso,NE,2021-03-15 03:04:27,13.049,3.1937,79.95,25,39,8.63
204,San Cristobal,VE,2021-03-15 03:04:29,7.7669,-72.225,77.0,78,75,5.75
205,Lebu,CL,2021-03-15 03:04:29,-37.6167,-73.65,54.75,93,1,1.36
206,Kapaa,US,2021-03-15 03:04:30,22.0752,-159.319,73.4,88,90,18.41
207,Port Blair,IN,2021-03-15 03:04:31,11.6667,92.75,84.38,68,100,12.53
208,Cherskiy,RU,2021-03-15 03:04:32,68.75,161.3,-10.64,89,93,8.21
209,Hendek,TR,2021-03-15 03:04:33,40.7994,30.7481,33.8,100,0,3.74
210,Tessalit,ML,2021-03-15 03:04:34,20.1986,1.0114,66.0,29,0,8.75
211,Ascheberg,DE,2021-03-15 03:04:34,51.7833,7.6167,39.99,94,100,9.15
212,Pontes E Lacerda,BR,2021-03-15 03:04:35,-15.2261,-59.3353,72.36,96,100,2.51
213,Cayenne,GF,2021-03-15 03:04:36,4.9333,-52.3333,78.01,100,90,9.93
214,Kingman,US,2021-03-15 03:04:37,35.1894,-114.053,50.0,32,1,11.5
215,Methoni,GR,2021-03-15 03:04:39,36.8197,21.7049,55.0,93,35,3.44
216,Urumqi,CN,2021-03-15 03:04:40,43.801,87.6005,28.4,93,90,2.24
217,Seybaplaya,MX,2021-03-15 03:04:40,19.65,-90.6667,82.4,47,1,13.8
218,Krasnyy Chikoy,RU,2021-03-15 03:04:42,50.3643,108.7512,13.08,77,100,9.46
219,Paragominas,BR,2021-03-15 03:04:42,-2.9667,-47.4833,71.8,97,97,2.04
220,General Roca,AR,2021-03-15 03:04:43,-39.0333,-67.5833,69.8,60,0,4.61
221,Henties Bay,NA,2021-03-15 03:04:43,-22.116,14.2845,61.0,95,27,8.9
222,Terekli-Mekteb,RU,2021-03-15 03:04:44,44.1671,45.8698,35.76,92,95,13.89
223,Shimoda,JP,2021-03-15 03:04:44,34.6667,138.95,59.0,47,20,10.36
224,East London,ZA,2021-03-15 03:04:45,-33.0153,27.9116,73.06,83,99,3.74
225,Peoria,US,2021-03-15 03:02:50,40.7667,-89.7668,41.0,52,75,18.41
226,Huarmey,PE,2021-03-15 03:04:45,-10.0681,-78.1522,73.87,72,100,6.26
227,Batsfjord,NO,2021-03-15 03:03:11,70.6345,29.7185,28.53,94,100,11.07
228,Upernavik,GL,2021-03-15 03:04:46,72.7868,-56.1549,-7.06,99,99,6.02
229,Bethel,US,2021-03-15 03:04:47,41.3712,-73.414,30.2,31,1,14.97
230,Vestmannaeyjar,IS,2021-03-15 03:03:12,63.4427,-20.2734,40.17,87,100,20.38
231,Nizwa,OM,2021-03-15 03:04:48,22.9333,57.5333,68.45,39,0,1.01
232,Flinders,AU,2021-03-15 03:04:48,-34.5833,150.8552,73.99,55,0,4.0
233,Vostok,RU,2021-03-15 03:04:49,46.4856,135.8833,45.77,73,0,2.13
234,Namibe,AO,2021-03-15 03:04:49,-15.1961,12.1522,75.9,83,100,2.55
235,Katsuura,JP,2021-03-15 03:04:50,35.1333,140.3,61.0,41,20,13.8
236,Voskresenskoye,RU,2021-03-15 03:04:50,56.8381,45.4317,33.1,98,100,10.71
237,Bulungu,CD,2021-03-15 03:04:51,-4.55,18.6,70.39,97,98,2.19
238,Gairatganj,IN,2021-03-15 03:04:51,23.4202,78.2385,81.84,17,0,7.61
239,Tual,ID,2021-03-15 03:04:51,-5.6667,132.75,83.71,68,91,4.34
240,Makinsk,KZ,2021-03-15 03:04:52,52.6292,70.4169,1.98,88,3,7.14
241,Phan Thiet,VN,2021-03-15 03:01:29,10.9333,108.1,84.15,52,95,4.59
242,Hasaki,JP,2021-03-15 03:04:53,35.7333,140.8333,63.0,41,40,9.22
243,Noumea,NC,2021-03-15 03:00:04,-22.2763,166.4572,86.0,62,20,19.57
244,Aquiraz,BR,2021-03-15 03:04:54,-3.9014,-38.3911,82.0,78,40,6.91
245,Luanda,AO,2021-03-15 03:04:55,-8.8368,13.2343,80.6,83,40,4.61
246,Makakilo City,US,2021-03-15 03:04:56,21.3469,-158.0858,75.2,69,90,4.61
247,Codrington,AU,2021-03-15 03:04:58,-38.2667,141.9667,66.0,66,95,9.66
248,Bilibino,RU,2021-03-15 03:04:59,68.0546,166.4372,-10.89,89,100,5.53
249,Saldanha,ZA,2021-03-15 03:05:00,-33.0117,17.9442,64.78,91,67,21.79
250,Ammon,US,2021-03-15 03:05:00,43.4696,-111.9666,44.6,49,1,8.05
251,Smithers,CA,2021-03-15 03:03:46,54.7804,-127.1743,28.4,54,75,6.91
252,Benguela,AO,2021-03-15 03:05:01,-12.5763,13.4055,79.86,81,100,5.26
253,Talnakh,RU,2021-03-15 03:05:01,69.4865,88.3972,-24.83,97,47,2.26
254,Naze,JP,2021-03-15 03:05:02,28.3667,129.4833,69.8,56,20,8.05
255,Ust-Kuyga,RU,2021-03-15 03:05:03,70.0167,135.6,0.52,91,100,8.1
256,Alta Floresta,BR,2021-03-15 03:05:03,-9.8756,-56.0861,70.56,96,67,2.15
257,Tefe,BR,2021-03-15 03:00:13,-3.3542,-64.7114,73.67,94,59,2.01
258,Kousseri,CM,2021-03-15 03:05:04,12.0769,15.0306,84.2,37,23,8.05
259,Puerto Escondido,MX,2021-03-15 03:05:04,15.85,-97.0667,78.8,78,40,5.41
260,San Jose,US,2021-03-15 03:00:05,37.3394,-121.895,53.6,66,90,13.8
261,Klaksvik,FO,2021-03-15 03:05:06,62.2266,-6.589,37.4,81,40,11.5
262,Kibaya,TZ,2021-03-15 03:05:08,-5.3,36.5667,56.44,98,47,2.51
263,San-Pedro,CI,2021-03-15 03:01:14,4.7485,-6.6363,77.18,90,100,5.44
264,Zhezkazgan,KZ,2021-03-15 03:05:09,47.8043,67.7144,2.97,80,27,5.39
265,Muros,ES,2021-03-15 03:05:10,42.7762,-9.0603,44.01,88,2,1.01
266,Tebingtinggi,ID,2021-03-15 03:05:10,3.3285,99.1625,82.4,78,40,4.61
267,Faanui,PF,2021-03-15 03:05:11,-16.4833,-151.75,83.3,73,37,9.64
268,Omsukchan,RU,2021-03-15 03:05:11,62.5333,155.8,3.47,79,20,3.91
269,Road Town,VG,2021-03-15 03:05:11,18.4167,-64.6167,75.99,88,84,7.0
270,Lompoc,US,2021-03-15 03:01:07,34.6391,-120.4579,51.8,71,1,8.05
271,Esperance,AU,2021-03-15 03:05:12,-33.8667,121.9,69.8,46,68,13.8
272,Mocorito,MX,2021-03-15 03:05:12,25.4833,-107.9167,62.01,53,23,8.99
273,Hastings,GB,2021-03-15 03:05:13,50.8552,0.5729,48.99,68,100,4.0
274,Farafangana,MG,2021-03-15 03:02:14,-22.8167,47.8333,72.81,90,38,6.22
275,Bintulu,MY,2021-03-15 03:05:14,3.1667,113.0333,84.2,79,20,2.3
276,Thompson,CA,2021-03-15 03:05:15,55.7435,-97.8558,24.8,42,75,8.05
277,Labuhan,ID,2021-03-15 03:05:15,-6.8844,112.2051,83.88,72,83,3.69
278,Guerrero Negro,MX,2021-03-15 03:05:15,27.9769,-114.0611,56.86,75,51,18.37
279,Cockburn Town,TC,2021-03-15 03:05:16,21.4612,-71.1419,75.24,63,0,11.68
280,La Belgica,BO,2021-03-15 03:05:17,-17.55,-63.2167,71.6,94,75,3.44
281,La Union,PE,2021-03-15 03:05:17,-5.4,-80.75,80.74,60,98,10.89
282,Qui Nhon,VN,2021-03-15 03:04:36,13.7667,109.2333,79.18,67,6,6.38
283,Praya,CV,2021-03-15 03:05:18,14.9215,-23.5087,66.2,72,0,9.22
284,Acapulco,MX,2021-03-15 03:02:40,16.8634,-99.8901,78.8,78,20,3.44
285,Aklavik,CA,2021-03-15 03:05:19,68.2191,-135.0107,-7.6,71,94,8.05
286,Port Hardy,CA,2021-03-15 03:05:20,50.6996,-127.4199,41.0,70,40,9.22
287,Dubbo,AU,2021-03-15 03:05:20,-32.25,148.6167,75.2,46,40,13.8
288,Rancho Palos Verdes,US,2021-03-15 03:05:20,33.7445,-118.387,54.0,83,86,4.0
289,Manggar,ID,2021-03-15 03:05:21,-2.8833,108.2667,85.19,69,100,4.63
290,Punganuru,IN,2021-03-15 03:05:21,13.3667,78.5833,75.67,40,11,3.89
291,Ankazobe,MG,2021-03-15 03:05:22,-18.3167,47.1167,64.4,82,75,5.75
292,Gomel,BY,2021-03-15 03:05:22,52.4345,30.9754,35.6,100,75,11.18
293,Invermere,CA,2021-03-15 03:05:23,50.5167,-116.0354,41.0,58,100,5.35
